Rating,Review_Text,Review_ID,Subjectivity,Review_Text_Annotated
5,If you go to Universal Studios on a VIP tour I highly recommend requesting DJ for your guide,1,0,If you go to Universal Studios on a VIP tour I highly recommend requesting DJ for your guide
5, He is full of knowledge and very entertaining,1,0, He is full of knowledge and very entertaining
5, He reminds of famous radio legend Casey Casum,1,0, He reminds of famous radio legend Casey Casum
5, The VIP tour was definitely worth it,1,1, The<OTHER> VIP<ASPECT-B> tour<ASPECT-I> was<OTHER> definitely<OP_POS-B> worth<OP_POS-I> it<OTHER>
5,This is for young and old Really cool especially the Harry Potter part,2,1,This<OTHER> is<OTHER> for<OTHER> young<OTHER> and<OTHER> old<OTHER> Really<OP_POS-B> cool<OP_POS-I> especially<ASPECT-B> the<OTHER> Harry<ASPECT-B> Potter<ASPECT-B> part<ASPECT-B>
5, Enough to eat to see and to enjoy,2,1, Enough<OP_POS-I> to<OTHER> eat<OP_POS-I> to<OTHER> see<OP_POS-I> and<OTHER> to<OTHER> enjoy<OP_POS-I> 
4,Much less crowded than Epcot but Universal lacks the Disney magic,3,1,Much<OP_POS-B> less<OP_POS-I> crowded<OP_POS-I> than<OTHER> Epcot<OTHER> but<OTHER> Universal<ASPECT-I> lacks<OP_NEG-B> the<OTHER> Disney<OTHER> magic<ASPECT-I>
4, Every ride was a stomach churner for those who suffer motion sickness so we were left with not much to do except that we absolutely adored the Harry Potter Diagon Alley,3,1, Every<ASPECT-B> ride<ASPECT-I> was<OTHER> a<OTHER> stomach<OP_NEG-B> churner<OP_NEG-I> for<OTHER> those<OTHER> who<OTHER> suffer<OTHER> motion<OTHER> sickness<OTHER> so<OTHER> we<OTHER> were<OTHER> left<OTHER> with<OTHER> not<OP_NEG-B> much<OP_NEG-I> to<OTHER> do<ASPECT-I> except<OTHER> that<OTHER> we<OTHER> absolutely<OP_POS-B> adored<OP_POS-I> the<OTHER> Harry<ASPECT-B> Potter<ASPECT-B> Diagon<ASPECT-I> Alley<ASPECT-I>
4, It was so much fun to see everyone running around in their black robes waving wands and casting spells,3,1, It<OTHER> was<OTHER> so<OP_POS-B> much<OP_POS-I> fun<OP_POS-I> to<OTHER> see<ASPECT-I> everyone<OTHER> running<OTHER> around<OTHER> in<OTHER> their<OTHER> black<OTHER> robes<OTHER> waving<OTHER> wands<OTHER> and<OTHER> casting<OTHER> spells<OTHER>
4, The dragon sitting atop the tower breathes fire every so often which was great,3,1, The<OTHER> dragon<ASPECT-I> sitting<OTHER> atop<OTHER> the<OTHER> tower<OTHER> breathes<OTHER> fire<OTHER> every<OTHER> so<OTHER> often<OTHER> which<OTHER> was<OTHER> great<OP_POS-I>
4, And they sell butterbeer It was also fun to see groups of Universal Studio charactersthe Simpsons Scoobie Doo and his gang and others,3,1, And<OTHER> they<OTHER> sell<OTHER> butterbeer<OTHER> It<OTHER> was<OTHER> also<OTHER> fun<OP_POS-I> to<OTHER> see<ASPECT-I> groups<OTHER> of<OTHER> Universal<ASPECT-I> Studio<ASPECT-I> characters<ASPECT-I> the<OTHER> Simpsons<OTHER> Scoobie<OTHER> Doo<OTHER> and<OTHER> his<OTHER> gang<OTHER> and<OTHER> others<OTHER>
4, The Men In Black ride was lots of fun although it triggered nausea and I assume the rest of the rides were also fun,3,1, The<OTHER> Men<OTHER> In<OTHER> Black<OTHER> ride<ASPECT-I> was<OTHER> lots<OP_POS-B> of<OTHER> fun<OP_POS-I> although<OTHER> it<OTHER> triggered<OTHER> nausea<OP_NEG-I> and<OTHER> I<OTHER> assume<OTHER> the<OTHER> rest<ASPECT-B> of<OTHER> the<OTHER> rides<ASPECT-I> were<OTHER> also<OTHER> fun<OP_POS-I>
4, Try this park if you cant face the crowds at Epcot,3,0, Try this park if you cant face the crowds at Epcot
5,We enjoyed staying at Portofino Bay,4,1,We<OTHER> enjoyed<OP_POS-I> staying<ASPECT-I> at<OTHER> Portofino<ASPECT-B> Bay<ASPECT-I>
5, Wonderful Hotel but also enjoyed the Express Pass that went with it,4,1,Wonderful<OP_POS-I> Hotel<ASPECT-I> but<OTHER> also<OTHER> enjoyed<OP_POS-I> the<OTHER> Express<ASPECT-B> Pass<ASPECT-I> that<OTHER> went<OTHER> with<OTHER> it<OTHER>
5, We were able to skip so many very long lines,4,0, We were able to skip so many very long lines
5, There are a lot of 3D and Simulators,4,0, There are a lot of 3D and Simulators
5, But they are enjoyable,4,1, But<OTHER> they<ASPECT-I> are<OTHER> enjoyable<OP_POS-I>
5, The detail that is put into the environment is probably my favorite part,4,1, The<OTHER> detail<OTHER> that<OTHER> is<OTHER> put<OTHER> into<OTHER> the<OTHER> environment<ASPECT-I> is<OTHER> probably<OTHER> my<OTHER> favorite<OP_POS-I> part<OTHER>
5, its like walking into the movies,4,0, its like walking into the movies
5, Highly recommend,4,0, Highly recommend
5,My family LOVED Volcano Bay,5,1,My<OTHER> family<OTHER> LOVED<OP_POS-I> Volcano<ASPECT-B> Bay<ASPECT-I>
5, Loved,5,1, Loved<OP_POS-I>
5, Everyone had such an amazing time there were activities for all of us 5 people,5,1, Everyone<OTHER> had<OTHER> such<OTHER> an<OTHER> amazing<OP_POS-I> time<ASPECT-I> there<OTHER> were<OTHER> activities<ASPECT-I> for<OTHER> all<OTHER> of<OTHER> us<OTHER> 5<OTHER> people<OTHER>
5, My thrill seekers loved the drop water slides while my oldest and I found our happy place with the water coaster and wave pool,5,1, My<OTHER> thrill<OTHER> seekers<OTHER> loved<OP_POS-I> the<OTHER> drop<OTHER> water<ASPECT-I> slides<ASPECT-I> while<OTHER> my<OTHER> oldest<OTHER> and<OTHER> I<OTHER> found<OTHER> our<OTHER> happy<OP_POS-I> place<OTHER> with<OTHER> the<OTHER> water<ASPECT-I> coaster<ASPECT-I> and<OTHER> wave<ASPECT-I> pool<ASPECT-I>
5, The staff were helpful and pleasant particularly Carl,5,1, The<OTHER> staff<ASPECT-I> were<OTHER> helpful<OP_POS-I> and<OTHER> pleasant<OP_POS-I> particularly<OTHER> Carl<OTHER>
5, We met Carl our first day assisting with lockers and again another day offering help to those who needed it,5,0, We met Carl our first day assisting with lockers and again another day offering help to those who needed it
5, When we booked our trip going to Volcano Bay was not high on our priority list as it felt like an unneeded bonus to Universal Studios and Islands of Adventure,5,0, When we booked our trip going to Volcano Bay was not high on our priority list as it felt like an unneeded bonus to Universal Studios and Islands of Adventure
